Today there were
Risen to 
Fallen to 
There have been 
COVID deaths 
There are over 
There are less than 
There are more than 
Recorded cases 
Vaccines 
Potential cases 
Highs of 
Death
Deaths
deaths
Lows of 
Deaths hits 
Climbed by 
Cases
new cases 
new deaths   
records
Covid-19 
Covid19
Risen by 
Rises to 
Rises by 
Declined
Increased
Number of cases 
Vaccinations 
Doses 
Vaccinated
Jabs  
Pandemic is
Is 
Are
